"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement"
"PC066037","MJ0272C5","","96100671NA","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","PACS Admin","1","",""
"PC066044","MJ026M8Z","","CNK6170L3R","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Chief Radiologist - adjacent to 1196","","",""
"LD027247","TD020448","","VT696235","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","208","2","",""
"PC071639","PC046536","","G6NYSF3","VIHA-DPRC-Dufferin Place (NRGH)","Main Building","110","1st Floor","202197|INC2323373",""
"PC066043","MJ025QYS","","CNK4440TYT","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"PC066039","PC066039","","CNK4310RT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","PACS Admin","1","",""
"PC032736","PC110005","","CZPTVP3","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","","208","","INC2427890",""
"PC065078","MJ025GU3","","CNK53108RW","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"LD042900","LD042900","","UG2164301163","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","",""
"LD065047","LD040953","","011NTCZ0H315","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1018 (Health Records)","1","",""
"","LD034574","","001NTSU5H350","VIHA-OHC-Oceanside Health Centre","Main","WFH","WFH","",""
"PC030738","PC030738","","CNT323W0CP","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Chief Radiologist - adjacent to 1196","","",""
"LD068731","LD068731","","CNK6190YXJ","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Xray department WFH","1","",""
"PC045906","HSS-8060786 M1","","B8H50N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","E1143 - Physicians Lounge (Desk 2)","","INC1715827","10/31/2030"
"PC066035","MJ0272AT","","CNK4440TYX","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"PC065084","MJ025GTL","","CNK5270J4J","VIHA-NRGH-Nanaimo Regional General Hospital","Main","Nick's","","",""
"LD036413","LD036413","","MMLW9AA0077070AA4B853A","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","Dr. Guzder's Laptop","Basement 1","",""
"LD066211","LD066211","","4QXMVF3","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","HCC HCN Nsg Area","1","181343",""
"TD030356","TD001710","","CW1SQT3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","","Unit is 29 ..22 is incorrect. ","1","INC2538379","10/31/2030"
"LD040185","LD040185","","ETLTK0R029201097622400","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","355 - Megan/Cathy R.","3","",""
"PC031561","PC031561","","6ZT6PW3","VIHA-NCMC-Nanaimo Colville Medical Center-Main Building-3rd Floor","Main Building","304","3","INC2727001","03/31/2027"
"PC039969_EVG","PC039969","","V1451543","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","FPC Provider Area","","",""
"PC066040","MJ025QYN","","CNK4310VPR","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1081 (Radiologist)","1","",""
"PC021898","FJCSVP3 MONITOR P2423D","","FJCSVP3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B40","1","192059",""
"","PC049852","","1263415873","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","X-Ray Room","","",""
"PC033149","PC033149","","V302LYV1","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1020","1","","05/31/2022"
"TD030201","LD064937","","DRJPQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","Occupational Therapy G069A","Basement 1","INC2608180","06/30/2031"
"PC031283","16TMG14 MONITOR P2423D","","16TMG14","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Nurse Station)","3","ILSHTRP20250324-006","06/30/2033"
"PC066004","MJ026M9U","","CNC8490TCW","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","134 (Medical Imaging)","","",""
"PC066032","MJ0272AT","","CNK4440PL6","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","MRI Reading RM","1","",""
"PC042932","PC042932","","C0YQVP3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Reception","1","INC2733645","12/31/2026"
"030796344653S3","030796344653S3","","VN732350","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"PC027128","LD025339","","48G06816019","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-1st Floor","Main Building","IMIT 1st Floor","1st Floor","",""
"","LD040239","","VTK53376","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","","",""," INC1146503/7040692744",""
"PC066039","MJ025QYD","","CNK442060D","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","PACS Admin","1","",""
"LD081004","LD081004","","7SS5TF3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","39-1925 Bowen Rd","6","1"," INC1982193	882363","11/30/2029"
"PC066037","MJ0272C5","","96100674NA","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","PACS Admin","1","",""
"PC066039","MJ025QYD","","CNK4440PGV","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","PACS Admin","1","",""
"PC065077","MJ025QYB","","CNK4440PKV","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"030796344653S3","030796344653S3","","VN732353","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"PC065084","MJ025GTL","","CNK53108W8","VIHA-NRGH-Nanaimo Regional General Hospital","Main","Nick's","","",""
"PC023819","PC023819","","3KSSVP3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","E1060 - Team Consult","","INC2612095","10/31/2030"
"LD033331","LD033331","","V1573703","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G003","G","","01/31/2019"
"LD032032","LD032032","","B012DI14I0116","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","2060A - Seminar Room 1","2","",""
"PC051768","PC051768","","CG5MKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1155 - Office 2","","INC2348950","08/31/2030"
"LD029935","LH60C0054000 S243HL","","LH60C0054000","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","Main Building","Managers office ","1","",""
"PC031905","PC044584","","6PCRQT3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","Main Building","22","1","INC2557083","09/30/2031"
"","PC040870","","1264080450","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","(Working from home)","","",""
"PC066036","MJ025QY5","","1890315816","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic","Main","PACS Admin","1","",""
"LD065277","LD041704","","ETLAV0C11174808D204011","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1018 (Back Area)","1","",""
"LD071098","LD071098","","G2KKRH3","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","207","2","164449",""
"LD101504","BGP5VZ3 P2423D","","BGP5VZ3","VIHA-NRGH-Nanaimo Regional General Hospital","","","","222970","03/31/2032"
"LD042904","LD042904","","3CM0400HJV","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","",""
"PC066038","MJ025QYG","","CNK6170LC6","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","PACS Admin","1","",""
"PC090022","PC050412","","2TJPQT3","VIHA-NMMC-Nanaimo Millstone Medical Centre-Main Building-2nd Floor","Main Building","202-7 (Office - W11)","2","INC2481625","10/31/2030"
"LD060040","PC031620","","3SPTVP3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G053","G","198081 |INC2308947","10/31/2030"
"LD061542","25SMVF3 MONITOR P2423D","","25SMVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","OR BioMed","2","181343",""
"","LD034509","","H4ZM700023","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor","","Birch unit 174","","",""
"NTT45030","LD058190","","CF1QLY2","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"PC031951","PC045906","","8K4QQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","P2050 - Assessment Room","","INC2170018","09/30/2030"
"014609150353S3","014609150353S3","","VN749475","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"PC066040","MJ025QYN","","CNK43002FC","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1081 (Radiologist)","1","",""
"PC031874","PC031874","","J712X4AVDHFM","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","B229-Pulmonary Function Lab","","",""
"LD066192","HSS-1989102","","GHSSVP3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-6th Floor","Tower","6018","6","INC2329556","09/30/2030"
"PC066041","MJ025GTE","","CNK4310T8Q","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1023A (Radiology)","1","",""
"","LD048234","","DGPV451E1BHT","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"PC066038","MJ025QYG","","CNK6170L3V","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","PACS Admin","1","",""
"LD027252","LD060535","","TD0AA0023900","VIHA-NER-Nanaimo Estevan Road-Main Building-3rd Floor","Main Building","315","3","",""
"PC067005","PC052177","","1890315808","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic","Main Building","PACS Office","1","",""
"PC066036","MJ025QY5","","1890314129","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic","Main","PACS Admin","1","",""
"PC050429","PC110005LEG","","H2350N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","1280A - Nursing Station","1","INC2226211","06/30/2031"
"PC065077","MJ025QY3","","1890311493","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"PC100282","LD030925","","JLTKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main","P2114","2","INC2265825","04/30/2029"
"PC066043","MJ025QYS","","CNK5170R3S","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"PC066034","MJ025GU3","","CNK53108RT","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"PC079191","PC079191","","2GGHTY3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","INC3406688","08/31/2031"
"LD023248","LD023248","","H4ZJB00050","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","FMO Trailer, Manager’s office","Basement 1","",""
"LD034307","RPX124543005 VA2431 Series","","RPX124543005","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","WFH - ???","3","",""
"PC065083","MJ025QYE","","CNK4440PGR","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","MRI Reading","1","",""
"PC046779","PC046779","","J712X4B7APMM","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","B236 - Pulmonary Function Lab","","",""
"PC065081","MJ025QY1","","CNK53108RV","VIHA-NRGH-Nanaimo Regional General Hospital","","CT Reading","","",""
"","TD030947","","VTL78131","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor","Main Building","OHC179","","REQ0045825-RITM0047018-SCTASK0096179","01/31/2024"
"PC065077","MJ025QY3","","1890310609","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"PC033149","PC033149","","V302LYT9","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1020","1","",""
"PC066046","MJ025QY3","","CNK5110L01","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","","",""
"","PC062308","","V905DRW1","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G255","","REQ0053801-RITM0055319-SCTASK0088439","03/31/2024"
"LD085713","HSS-1044819","","HJGLTY3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Main","Reception","2","216790","01/31/2032"
"PC065083","MJ025QYE","","CNK6170L3T","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","MRI Reading","1","",""
"PC066040","MJ025QYN","","CNK4440PKM","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1081 (Radiologist)","1","",""
"PC032167","JD7JRH3 MONITOR P2421D","","JD7JRH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G101 (Pharmacy - Front)","G","164446",""
"","TD030683","","JALMTF086599","VIHA-MDO-Metral Drive Offices","","362","","",""
"PC065084","MJ025QYB","","CNK4440PKT","VIHA-NRGH-Nanaimo Regional General Hospital","Main","Nick's","","",""
"LD034366","LD034366","","59434","VIHA-CDH-Cowichan District Hospital","Main Building","main entrance/gift shop area","","",""
"LD040975","LD040975","","HKVWNM2","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","WFH","3","",""
"LD100678","TD030703","","008NTEPEX380","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main","205","2","",""
"LD042904","3CM0400HJX 24f","","3CM0400HJX","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","",""
"LD062336","PC071537","","2JGLTY3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","New Building","WFH ???","1","INC2765001","05/31/2022"
"LD062049","LD062049","","1Z96PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","116 (W64)","1","INC2640620","11/30/2030"
"PC067005","PC052177","","1890316150","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic","Main Building","PACS Office","1","",""
"","100029","100029","VNACD15","VIHA-CDH-Cowichan District Hospital","","","","","08/31/2016"
"","100279","100279","N086003","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","100280","100280","N085996","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","100286","100286","N086000","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"PC066036","100406","100406","VN220961","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic","Main","PACS Admin","1","","02/28/2017"
"","106124","106124","VN718938","VIHA-NRGH-Nanaimo Regional General Hospital","","OR","2","",""
"","87590","87590","C20220T10660K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","87593","87593","C24220T20277K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","87612","87612","C29220T26745K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","87640","87640","CNC229R7M2","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","92715","92715","VNA6PB5","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","10/31/2015"
"","92720","92720","VNA83BX","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","10/31/2015"
"","92738","92738","VNA83GR","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","10/31/2015"
"","92764","92764","VNA8TPK","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","09/30/2015"
"","92790","92790","VNA83DY","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","10/31/2015"
"","92849","92849","VNA8TWD","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","10/31/2015"
"","93319","93319","CN430512RF","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","94190","94190","M2R40M6","VIHA-NWR-Nanaimo Waddington Road","","","","",""
"","94191","94191","M4R40LD","VIHA-NWR-Nanaimo Waddington Road","","","","",""
"","94192","94192","M2R3WND","VIHA-NWR-Nanaimo Waddington Road","","","","",""
"","94615","94615","VNAB8NM","VIHA-CLRC-Cowichan Lodge","","","","","04/30/2016"
"","95155","95155","VNACB20","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","B","","06/30/2016"
"","96215","96215","C20220T10219K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96216","96216","C24220T20278K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96217","96217","C2420T20270K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96218","96218","C20220T10218K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96221","96221","C24220T20279K1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96322","96322","CN433507SK","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96331","96331","CNK4010Q0M","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96334","96334","D39269C02850C1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","96335","96335","D39269C02843C1","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","98321","98321","VNADHAM","VIHA-OHC-Oceanside Health Centre","","","","","06/30/2016"
"","98374","98374","VNACAG1","VIHA-OHC-Oceanside Health Centre","","","","","06/30/2016"
"","98711","98711","VNABVD1","VIHA-CDH-Cowichan District Hospital","","","","","06/30/2016"
"","98810","98810","VNABVW6","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","06/30/2016"
"","98864","98864","VNABVLB","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","B","","06/30/2016"
"","98984","98984","VNAD5WR","VIHA-NRGH-Nanaimo Regional General Hospital","MAIN","","G","","06/30/2016"
"","98985","98985","VNAD5WN","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","06/30/2016"
"","98993","98993","VNAD5X3","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","06/30/2016"
"","C000484","C000484","VN718938","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C000719","C000719","VN749413","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C000739","C000739","VN732231","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C000749","C000749","VN900651","VIHA-NRGH-Nanaimo Regional General Hospital","","","1","","03/31/2018"
"","C000799","C000799","VN900147","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","03/31/2018"
"","C000818","C000818","VN900170","VIHA-NRGH-Nanaimo Regional General Hospital","","","1","","03/31/2018"
"","C000830","C000830","VN900155","VIHA-NRGH-Nanaimo Regional General Hospital","Main","PA223","2","","03/31/2018"
"","C000837","C000837","VN900650","VIHA-NRGH-Nanaimo Regional General Hospital","","","1","","03/31/2018"
"","C000842","C000842","VN900656","VIHA-NRGH-Nanaimo Regional General Hospital","","","1","","03/31/2018"
"","C000868","C000868","VN798860","VIHA-NRGH-Nanaimo Regional General Hospital","","","1","","03/31/2018"
"","C000870","C000870","VN798538","VIHA-NRGH-Nanaimo Regional General Hospital","","","1","","03/31/2018"
"","C000898","C000898","VN899252","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","03/31/2018"
"","C000903","C000903","VN899245","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","03/31/2018"
"","C001870","C001870","V1954116","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","B","",""
"PC036083","C005124","C005124","VN890708","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-Basement 1","","N/A - Please contact","","",""
"","C005210","C005210","VN900588","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","03/31/2018"
"","C005214","C005214","VN900420","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","03/31/2018"
"","C005215","C005215","VN798508","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","03/31/2018"
"","C005285","C005285","VN899750","VIHA-CDH-Cowichan District Hospital","","","","","03/31/2018"
"","082159350253S3","C005593","VN837938","VIHA-NRGH-Nanaimo Regional General Hospital","MAIN","G247C","G","",""
"LD027537","LD027537","C005715","VN838607","VIHA-NDHF-Nanaimo & District Hospital Foundation-Main Building","Main","1019","1","",""
"","LD055964","C005738","VN717785","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services","Jennifer Sinclair 203-2000 Island Hwy, Nanaimo","Main","",""
"","C005768","C005768","VN749414","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C005769","C005769","VN749402","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C005777","C005777","VN732350","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C005778","C005778","VN732353","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C005781","C005781","VN732354","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","B","",""
"","C005981","C005981","VNA00L6A","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C005988","C005988","VN838687","VIHA-NRGH-Nanaimo Regional General Hospital","","","","",""
"","C006003","C006003","VN838678","VIHA-NRGH-Nanaimo Regional General Hospital","Main","Short Surgery Stay Nurstation","2","",""
"","C006004","C006004","860DNC08425","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Basement","",""
"LD034724","LD034724","C006164","VN838656","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-6th Floor","Tower","6003 - Liaison & Social Work","6","",""
"LD065699","PC034785","C006434","VN838877","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","Main","126","1","",""
"","C008771","C008771","CN484500W0","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008772","C008772","CN48400006","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008773","C008773","CN484500TC","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008774","C008774","CN484500VP","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008775","C008775","CN484500VG","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008776","C008776","CN484500WK","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008777","C008777","CN484500T9","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008778","C008778","CN484500SY","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008779","C008779","CN484500WW","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008780","C008780","CN484500WH","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008781","C008781","CN484500N7","VIHA-NRGH-Nanaimo Regional General Hospital","Ambulatory","","G","","06/30/2022"
"","C008782","C008782","CN484500VL","VIHA-NRGH-Nanaimo Regional General Hospital","Ambulatory","","G","","06/30/2022"
"","C008783","C008783","CN484500SZ","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008784","C008784","CN484500VK","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008785","C008785","CN484500WB","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008786","C008786","CN484500ND","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008787","C008787","CN484500T8","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008788","C008788","CN484500VX","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008789","C008789","CN484500VD","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
"","C008790","C008790","CN484500MQ","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","","2","","06/30/2022"
