City,Location,Building,Floor,Room
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1130 (Outside Triage)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1130 (Triage)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1134 (ACU Back Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1134 (ACU Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1134 (Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1137 (Procedure Room 1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1140 (Endoscopic Suite)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1143NW (Mammo Exam Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1145 (Waiting Room Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1N (Main Nurse Desk)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1N (Main Nurse Desk)(7/24)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1N (OR1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1N (OR1)(CADI)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1N (OR2)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1N (OR4)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,3N (Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,Home Office (VPN)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,IMP48 (On-Call Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,IMP55 (Library)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,IMP59 (Admin Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,IMP59 (UVIC - Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2011 (2-South)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2031 (Back Room TV)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2031 (Nurse Station - Back Office TV)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2031 (Nurse Station - Back Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2032 (Nurse Station - Bat Cave)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2035 (ICU Patient Lounge)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2043 (2nd Floor Day Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2043 (2nd Floor Day Room)(Spare)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2044 (Tub Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2055A (Maternity Clinic)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2055B (Maternity Clinic)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2055C (Maternity Clinic)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2062 (Assessment Room #2)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2064 (Back Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2065 (Nursery - Fetalink on wall)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2065 (Nursery - Monitoring Board On Wall)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2065 (Nursery)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2066 (Assessment Room #1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2067 (Birthing Room #1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2067 (Birthing Room #2)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2067 (Birthing Room 3 - PARR)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2083 (Nikki Kokkinis)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2084 (Christine S)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2084 (Roshni)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2880 (Central Nurse Station Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2C (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2N (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2N (LDR Med Room Area)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2N (Maternity OR)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2N (Nurse Station - Fetalink)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2N (Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2N (Nurse Station)(7/24)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (Hallway East)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (Hallway West)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (ICU Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (Nurse Station - Front)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (Nurse Station - Round Table)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,2,2S (Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Main Building,3,3 Southeast hallway
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,1,3S (Hallway East)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3011 (Liaisons Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3031 (Nurse Station - Back Office TV)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3031 (Nurse Station - Back Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3032 (Nurse Station - Bat Cave)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3033 (Clinical Coordinator Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3036 (Floor 3 Dayroom - in storage)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3036 (Floor 3 Dayroom)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3037 (Tub Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3057 (Unit Clerk)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3059 (Med/Report Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3060 (CSO Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3060 (CSO Office)(In Box)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3060 (CSO Office)(Not Found)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3063 (Outpatiant Procedure Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3329 (Chemotherapy & Medical Daycare Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3330 (Oncology Physician)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3332 (Chemotherapy Medical Daycare)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3335 (Electrocardiogram)(Mobile)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3336 (ECG - Mobile)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3336 (Electrodiagnostic - Back Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3336 (Electrodiagnostic)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3336 (Electrodiagnostic)(Holter)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3336 (Electrodiagnostic)(Mobile)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3337 (Internal Medicine)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3N (Hallway )
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3N (Hallway West)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3N (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3N (Nurse Station)(7/24)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Hallway East - Substation)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Hallway West - Substation)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Hallway West)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Nurse Station - Front)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Nurse Station - Front)(7/24)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3S (Nurse Station - Round Table)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,Main Building,3,3SE (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4002 (Pulmonary Function Lab)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4003 (Outside Respiratory Therapy)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4003 (Respiratory Therapy)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4003 (Respiratory Therapy)(Spare)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4005 (Medication Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4005 (Medication Room)(Unlocked)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4015 (Meeting Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4019 (Patient Care Coordinator)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4019 (Patient Care Coordinator)(Spare)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4019 (Patient Care Coordinator)(WFH/Spare)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4024 (CNL Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4026 (Social Work)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4028 (Geriatric Specialty Services)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4028 (Spiritual Leader)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4028 (Spiritual Practioner)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4029 (Protection Services Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4034 (Meeting Room 1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4036 (Clinical Nurse Lead + Social Worker)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4036 (Clinical Nurse Lead + Social Worker)(TV)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4036 (Patient Care Coordinator - Floater)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4037 (Nurse Station - Corner Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4037 (Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4037 (Psychiatry - Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,Main Building,4,4S (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,002 (Food Services Manager)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,CDH Lecture Room
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,Cellar (Medical Imaging - Records Storage Cage)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G002 (Housekeeping)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G006 (Bio-Medical)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G009 (Lecture Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G016 (Food and Nutrition Service Manager)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G017 (Food Services Supervisor)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G026 (Dietician Coordinator)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G026 (Dietitian Inpatient)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,Main Building,G,G026 (Dietitian Out Patient)
