"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"TD001649","HSS-8067880","DC1BLR3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","","","","VIHATRP20221024-011","","","",""
"PC074196","HSS-1904951","JZMCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"PC074205","HSS-1904959","50NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"PC074219","HSS-1904972","40NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD048237","HSS-1967652","2CZ0P73","Nanaimo","VIHA-NHC-Nanaimo Health Centre","","","","COVID19W-07-0045","06/30/2025","","General Rounding","HPC Hlth Svcs For Comm Living (NHC)"
"LD081172","HSS-1048387","CRK2WH3","Nanaimo","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Main","","2","REQ1510603-RITM1593629-SCTASK2579422","11/30/2028","","",""
"PC0100012","HSS-1111240","85RCQ54","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","NRGH Perinatal","","2nd","REQ1759206-RITM1856649-SCTASK2975156","03/31/2029","","General Rounding",""
"LD059693","HSS-1030880","7XMS8D3","Nanaimo","VIHA-MDO-Metral Drive Offices","","","","REQ0415017-RITM0435102-SCTASK0675950","02/28/2026","","",""
"AO400474","HSS-8086585","C23801M131","Nanaimo","VIHA-NCDF-Nanaimo Community Dialysis Facility","Main Building","","1st Floor","VIHATRP20240513-067","03/31/2028","","Mobile Cart","CDF-Nanaimo Clinic"
"WT_860DNC09212","C005111","860DNC09212","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","","","Excluded"," "
"LD030513","HSS-8096309","PF5STMMZ","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","","","ISLHTRP20251027-011","","","General Rounding",""
"WT_63CAB89S6J2","C008337","B89S6J2","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","08/31/2023","","Excluded"," "
"LD063791","HSS-1043120","FBWX4X3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Nanaimo Estavan Finance","","3rd","REQ1007808-RITM1060184-SCTASK1689294","08/31/2027","05/21/2024","General Rounding","'-"
"PC074181","HSS-1904938","FZMCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"PC074177","HSS-1904934","92RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"PC074195","HSS-1904950","10NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD093186","HSS-1049279","7JCF2T2","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","489 alberni hwy","","2nd floor","REQ1587867-RITM1675392-SCTASK2691100","12/31/2028","","General Rounding",""
"AO000570","HSS-8084075","C23801M145","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","Main Building","","1st Floor","VIHATRP20240304-068","03/31/2028","","Mobile Cart","LTC VIHA Admin - CI"
"AO005683","HSS-1904735","C24C27M015","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","DMND0005174","04/30/2029","","",""
"LD100945","HSS-1044306","17085X3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","","","","REQ1098496-RITM1156225-SCTASK1884715","11/30/2027","","",""
"AO005682","HSS-1904732","C24C27M014","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","DMND0005174","04/30/2029","","",""
"LD068791","HSS-1049421","9D83WH3","Nanaimo","VIHA-MAUPCC-Medical Arts Urgent Primary Care Centre","","","","REQ1599205-RITM1687357-SCTASK2719269","12/31/2028","","",""
"LD071343","HSS-1032706","28254J3","Nanaimo","VIHA-NER-Nanaimo Estevan Road","","","","REQ0509680-RITM0534748-SCTASK0830431","06/30/2026","","",""
"PC079298","HSS-1046696","5SX6724","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","","1","REQ1313212-RITM1384920-SCTASK2240933","06/30/2028","","",""
"PC074189","HSS-1904944","72RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"WT_63CAB7KT6J2","C008335","B7KT6J2","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","08/31/2023","","Excluded"," "
"LD031885","HSS-8091713","CYRWVH3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","Main Building","","1st Floor","VIHATRP20241216-023","12/31/2028","","","Region 2 Scheduling Nanaimo"
"LD058240","HSS-8094439","JYBKP54","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street-Main Building","Main Building","","","ISLHTRP20250714-073","03/31/2029","","General Rounding","Nanaimo Admin Support"
"PC074185","HSS-1904940","HZMCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"PC074176","HSS-1904933","DZMCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"LD091242","HSS-1047803","3M7HVW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","REQ1432172-RITM1510790-SCTASK2450157","10/31/2028","","General Rounding",""
"PC074197","HSS-1904952","70NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD090595","HSS-1045953","DNPYCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","4488 Wellington Rd suite 2B","","","REQ1256586-RITM1324477-SCTASK2129321","04/30/2028","","",""
"LD043487","HSS-8091705","94VWVH3","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","","1st Floor","VIHATRP20241216-022","12/31/2028","","Excluded","Region 3 Scheduling Duncan"
"PC031438","HSS-8012843","MJ077212","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","","1","","09/30/2021","","General Rounding",""
"LD031392","HSS-8084019","GS6B9W3","Nanaimo","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","","","","VIHATRP20240304-011","03/31/2028","","",""
"LD101504","HSS-1045240","902B9W3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","REQ1207766-RITM1272096-SCTASK2041530","02/29/2028","","General Rounding",""
"AO005686","HSS-1904736","C24C27M018","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","DMND0005174","04/30/2029","","",""
"LD104378","HSS-1049607","J2B4WH3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Public Health","","2","REQ1606097-RITM1694644-SCTASK2741896","12/31/2028","","Excluded",""
"WT_860DNC00886","C006301","860DNC00886","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","","","Excluded"," "
"LD063944","HSS-1043318","19FY4X3","Parksville","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor","Main Building","","1","REQ1014880-RITM1067740-SCTASK1707514","08/31/2027","","General Rounding","'-"
"LD059790","HSS-1031478","JWQX5G3","Parksville","VIHA-OHC-Oceanside Health Centre","","","","REQ0430730-RITM0451560-SCTASK0698751","03/31/2026","","General Rounding",""
"PC074218","HSS-1904971","12RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD102535","HSS-1047391","30WQCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","REQ1380704-RITM1456426-SCTASK2369489","09/30/2028","","General Rounding",""
"PC074217","HSS-1904970","62RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"PC107043","HSS-8091510","3QJQK44","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Deliver to: NRGH, Device Integration, B004 Attn: Andrew Hill","","","REQ1821145-RITM1922030-SCTASK3083555","02/28/2029","","General Rounding",""
"PC074184","HSS-1904939","B0NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"LD104088","HSS-1048628","JNS3WH3","Nanaimo","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","25 1925 Bowen Road","","","REQ1544801-RITM1629781-SCTASK2618404","12/31/2028","11/26/2024","General Rounding","Youth Wellness Center"
"LD063634","HSS-1042914","9PXJTV3","Nanaimo","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building","Main","","1","REQ0978836-RITM1029634-SCTASK1639145","07/31/2026","","General Rounding","'-"
"PC074188","HSS-1904943","F0NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"LD086135","HSS-1046840","9F1RCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","ridges Primary Care Clinic","","#8 1599 Dufferin Crescent","REQ1319793-RITM1391939-SCTASK2254315","06/30/2028","","Excluded",""
"PC034089","HSS-8073283","4N0T1V3","Nanaimo","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Unit 25","","1","VIHATRP20230327-024","05/31/2027","","General Rounding","Corporate Business Solutions"
"TD030666","HSS-8018433","MP1MD3XS","Parksville","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","","","","","12/31/2022","","",""
"LD058259","HSS-8093610","60JSFW3","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services","","","","ISLHTRP20250526-044","03/31/2029","","",""
"LD106104","HSS-1035090","3R673J3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Dufferin place","","1","REQ1955605-RITM2064829-SCTASK3315372","09/30/2026","11/19/2025","General Rounding",""
"LD021425","HSS-8067145","F1ZGBK3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-Basement 1","","","","VIHATRP20221003-116","09/30/2026","","",""
"LD058671","HSS-1026719","HTK78C3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo","","","","REQ0253560-RITM0265558-SCTASK0402723","08/31/2025","","",""
"WT_63CABJ1T6J2","C008336","BJ1T6J2","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","08/31/2023","","Excluded"," "
"LD061868","HSS-1037137","4R7KLN3","Parksville","VIHA-OHC-Oceanside Health Centre","Main","","2","REQ0675653-RITM0709782-SCTASK1122226","11/30/2026","04/02/2025","General Rounding","Community Health"
"LD106044","HSS-1035750","61154J3","Parksville","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor","","","","REQ1936579-RITM2044372-SCTASK3293784","10/31/2026","11/17/2025","General Rounding","Primary Care"
"AO005687","HSS-1904731","C25123M236","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","DMND0005174","04/30/2029","","",""
"LD066469","HSS-8082570","75VQDY3","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","","","VIHATRP20240122-024","02/29/2028","","",""
"C015282","C015282","T092TM92V0","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","","","Excluded","Clinical Informatics"
"LD035586","HSS-8092589","9WL2WH3","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street-Main Building","","","","VIHATRP20250317-002","12/31/2028","","",""
"PC074224","HSS-1904977","52RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"LD063848","HSS-1043209","G77Y4X3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","","2","REQ0989196-RITM1040642-SCTASK1696991","08/31/2027","08/02/2023","General Rounding","'-"
"LD104232","HSS-1904982","3KH4WH3","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","12/31/2028","","",""
"LD065930","HSS-1047754","DV6VCW3","Nanaimo","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","","","","REQ1429774-RITM1508261-SCTASK2420107","09/30/2028","","","Victoria PCN"
"TD030459","HSS-8067962","H70CLR3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","","","","VIHATRP20221024-093","","","",""
"LD059879","HSS-1031766","HTD82J3","Nanaimo","VIHA-NBC-Nanaimo Bowen Centre","","","","REQ0440432-RITM0461719-SCTASK0716764","03/31/2026","","",""
"WT_860DNC00245","C006299","860DNC00245","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","","","Excluded"," "
"PC107042","HSS-1048383","B7BQK44","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Deliver to: NRGH, Device Integration, B004 Attn: Andrew Hill","","","REQ1821145-RITM1922031-SCTASK3083545","11/30/2028","","",""
"LD104092","HSS-1048629","BQS3WH3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo-Main Building","25 1925 Bowen Road","","","REQ1544801-RITM1629780-SCTASK2618443","12/31/2028","11/26/2024","General Rounding",""
"LD080123","HSS-1037139","9JP4NN3","Parksville","VIHA-OHC-Oceanside Health Centre","Main","","2","REQ0675650-RITM0709779-SCTASK1118684","11/30/2026","","General Rounding",""
"PC074200","HSS-1904954","H1RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD090474","HSS-1045489","FTKKVH3","Nanaimo","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building-2nd Floor","Main","","2","REQ1225751-RITM1291404-SCTASK2082127","03/31/2028","02/29/2024","General Rounding",""
"PC074214","HSS-1904967","J2RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","05/28/2025","General Rounding","Urgent Care"
"LD061566","HSS-1035690","3MSC6J3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent","","","","REQ0624758-RITM0656275-SCTASK1035002","10/31/2026","","General Rounding",""
"LD066396","HSS-8084017","632B9W3","Nanaimo","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building-2nd Floor","","","","VIHATRP20240304-009","03/31/2028","","",""
"LD068318","HSS-1047468","FT5TCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","REQ1412888-RITM1490407-SCTASK2404423","01/31/2029","","General Rounding",""
"PC074216","HSS-1904969","C0NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"PC039974","HSS-8091719","16BQK44","Nanaimo","VIHA-NWTR-Nanaimo Wellington Road-Main Building-1st Floor","Main Building","","1st Floor","VIHATRP20241216-017","12/31/2028","","","Nanaimo MHSU Acute"
"LD059054","HSS-8095123","7C5P774","Nanaimo","VIHA-MDO-Metral Drive Offices-Main Building","Main Building","","","ISLHTRP20250825-007","10/31/2029","","",""
"LD066321","HSS-8082572","B5VQDY3","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","","","VIHATRP20240122-026","02/29/2028","10/12/2025","General Rounding",""
"LD044344","HSS-8092331","CPS3WH3","Parksville","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor","Main Building","","1st Floor","VIHATRP20250224","12/31/2028","","Critical Clinical","CI/NI Diabetes and Nutrition"
"LD081276","HSS-1049280","6J5F2T2","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","489 alberni hwy","","2nd floor","REQ1588883-RITM1676464-SCTASK2692437","12/31/2028","","General Rounding",""
"PC074172","HSS-1904931","53RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"LD063775","HSS-1043115","HHF3NN3","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street","","","","REQ0997978-RITM1049875-SCTASK1689254","10/31/2026","","",""
"LD103005","HSS-1048227","3WTWVH3","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre","","","1","REQ1500700-RITM1583294-SCTASK2545756","10/31/2028","","",""
"WT_63CAB88T6J2","C008342","B88T6J2","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","Floor 2","","08/31/2023","","Excluded"," "
"PC080272","HSS-1048304","BBGS144","Nanaimo","VIHA-NER-Nanaimo Estevan Road-Main Building-2nd Floor","1461 Estevan Rd","","2nd Floor","REQ1498829-RITM1581326-SCTASK2568281","11/30/2028","","General Rounding",""
"PC074222","HSS-1904975","H2RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD067147","HSS-8092591","CSY2WH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","VIHATRP20250317-004","12/31/2028","","","Device Acquisition"
"LD060641","HSS-1033884","3RQC3J3","Parksville","VIHA-OHC-Oceanside Health Centre","","","","REQ0543749-RITM0570812-SCTASK0898199","07/31/2026","","General Rounding",""
"LD043504","HSS-1961377","PC1CZ9JR","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","","","","04/30/2023","","",""
"PC074175","HSS-1904932","F1RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"LD059324","HSS-8096645","PF5S2EA1","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","","","","ISLHTRP20251201-004","","","",""
"LD033740","HSS-8026640","3N873J3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-2nd Floor","Main Building","","2","VIHATRP20220214-021","06/30/2026","12/16/2023","General Rounding","Exec"
"LD086509","HSS-1048874","55HWVH3","Nanaimo","VIHA-NBCBC-Nanaimo Boundary Crescent Beaufort Centre-Main Building-1st Floor","Main","","1","REQ1562177-RITM1648295-SCTASK2647384","01/31/2029","10/29/2025","'-- None --","Kidney Care Clinic"
"PC074207","HSS-1904961","G0NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
"LD061564","HSS-1035689","F6PH6J3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent","","","","REQ0624745-RITM0656261-SCTASK1034959","10/31/2026","","General Rounding",""
"LD062270","HSS-1038860","HTXKLN3","Nanaimo","VIHA-NDC-Nanaimo Dufferin Centre-Main Building-1st Floor","","","","REQ0738111-RITM0775509-SCTASK1235195","01/31/2027","","General Rounding",""
"LD069021","HSS-1111258","FSHSFW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","REQ1733733-RITM1829628-SCTASK2988742","03/31/2029","","Excluded",""
"LD041753","HSS-8083618","C3FB9W3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","","Basement 1","VIHATRP20240219-005","03/31/2028","","General Rounding","Population & Public Health, Education and Practice Support"
"LD086291","HSS-1047589","3B3SCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","REQ1413142-RITM1490664-SCTASK2406752","09/30/2028","","",""
"LD104830","HSS-1110562","4WVSFW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","2","REQ1689579-RITM1783235-SCTASK2859301","03/31/2029","08/17/2025","General Rounding","Surgical"
"PC032032","HSS-8096458","2RVHZ44","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","Main Building","","","ISLHTRP20251110-016","03/31/2029","","","Mental Health & Addiction Services"
"LD105113","HSS-1110908","7VHZFW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","489 Alberni Hwy","","2","REQ1718391-RITM1813516-SCTASK2924484","03/31/2029","04/30/2025","General Rounding",""
"PC106862","HSS-1111239","MZ01ALXF","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","REQ1721748-RITM1817077-SCTASK2940295","06/30/2029","","General Rounding",""
"LD065985","HSS-8078088","B09G5X3","Nanaimo","VIHA-NDC-Nanaimo Dufferin Centre-Main Building","Main Building","","1","VIHATRP20230904-023","10/31/2027","12/21/2023","General Rounding","Communicable Disease Svc"
"LD100924","HSS-1044236","95D0GY3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","REQ1112287-RITM1170639-SCTASK1872542","11/30/2027","","General Rounding",""
"LD102945","HSS-1048170","20HWVH3","Nanaimo","VIHA-NWPS-Nanaimo Wentworth & Prideaux Street-Main Building","528 Wentworth Street, Nanaimo","","1st","REQ1385853-RITM1461917-SCTASK2525169","10/31/2028","","",""
"PC080098","HSS-1049904","B4RCQ54","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Mall","","1","REQ1589909-RITM1677587-SCTASK2746437","03/31/2029","","",""
"PC093056","HSS-1049082","15BQK44","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre","Deliver to: NRGH, B004, Attn: Andrew Hill","","","REQ1577411-RITM1664372-SCTASK2675193","12/31/2028","","",""
"PC080273","HSS-1048305","DNX4L44","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","NER","","2","REQ1498820-RITM1581317-SCTASK2568299","11/30/2028","","General Rounding",""
"63C9K44","HSS-1049690","63C9K44","Nanaimo","VIHA-CISC-Centre Island Surgical Centre","","","","REQ1613565-RITM1702498-SCTASK2735816","11/30/2029","","",""
"LD080173","HSS-1037991","C2ZDLN3","Nanaimo","VIHA-NBC-Nanaimo Bowen Centre","","","","REQ0702485-RITM0737958-SCTASK1162649","01/31/2027","","General Rounding",""
"LD058983","HSS-1029079","28ZCBC3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo-Main Building","","","","REQ0323237-RITM0338429-SCTASK0520970","11/30/2025","","",""
"TD001760","HSS-8086536","7GMMSV3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","","","","VIHATRP20240513","06/30/2028","","Excluded",""
"LD063943","HSS-1043317","452SQV3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Main Building","","G","REQ1018625-RITM1071666-SCTASK1707513","08/31/2027","","","NRG Pharmacy"
"LD081277","HSS-1049281","7R5F2T2","Parksville","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main","","2nd floor","REQ1588890-RITM1676471-SCTASK2692448","12/31/2028","02/03/2025","General Rounding",""
"LD093061","HSS-1048661","FG0XVH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","REQ1550851-RITM1636300-SCTASK2625566","12/31/2028","","",""
"LD063803","HSS-1043142","BL4Z4X3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","","2","REQ0997980-RITM1049877-SCTASK1689308","08/31/2027","","General Rounding","'-"
"LD104233","HSS-1904983","DJ44WH3","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","12/31/2028","","",""
"PC074210","HSS-1904964","1FFCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","2","DMND0005167","03/31/2029","12/04/2025","General Rounding","Urgent Care"
